source_path,size_bytes,sha256,disposition,canonical_destination,notes
Mathematics/Advanced NumberTheory/1.GaussSums.md,4676,5e7ee197fe3a4b1ecb3f0d9b6f20c2bd5a54c676df7ca8d403d8e4907236c270,integrated/reworked,Computational Number Theory / experiments/mathematics/number-theory,"Gauss/Jacobi sums, finite-field correlations, point-counting, or modular-arithmetic material consolidated into canonical mathematics articles."
Mathematics/Advanced NumberTheory/2.Countpoints.md,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,discarded empty placeholder,,Empty source file; no canonical content to preserve.
Mathematics/Advanced NumberTheory/convolutions.sage,1444,34dda5d254dcd8c6dfa0f075d5a0e0270ae999b86f4b981675b99d58713af1f9,integrated/reworked,Computational Number Theory / experiments/mathematics/number-theory,"Gauss/Jacobi sums, finite-field correlations, point-counting, or modular-arithmetic material consolidated into canonical mathematics articles."
Mathematics/Advanced NumberTheory/convolutions.sage.py,1939,47026c482895e14437e25153c105b30ba6feff2ae572c5a54ed9c8612094b43a,discarded generated artifact,,Generated Python translation of a Sage source retained conceptually through the canonical material.
Mathematics/Advanced NumberTheory/correlationdelta.sage,1782,f17697267e2214f005fe197bbdbbbf6f22e00d859eb325c2cf0d6d69517a6b51,integrated/reworked,Computational Number Theory / experiments/mathematics/number-theory,"Gauss/Jacobi sums, finite-field correlations, point-counting, or modular-arithmetic material consolidated into canonical mathematics articles."
Mathematics/Advanced NumberTheory/correlationdelta.sage.py,2713,88a783d3fae40965fed66c87fd4880b795c31422257e2cc9fcf516df47840834,discarded generated artifact,,Generated Python translation of a Sage source retained conceptually through the canonical material.
Mathematics/Advanced NumberTheory/countpoints.sage,1655,54621419717af08965bd91f2ea14f6c6bf8b517acb4ed21d6ea7e1df12a080a9,integrated/reworked,Computational Number Theory / experiments/mathematics/number-theory,"Gauss/Jacobi sums, finite-field correlations, point-counting, or modular-arithmetic material consolidated into canonical mathematics articles."
Mathematics/Advanced NumberTheory/countpoints.sage.py,2095,a4cf189244e9d89d29ae9a92f7bdbd53dc1fc7ff371b9d19f72d81e046b4c65a,discarded generated artifact,,Generated Python translation of a Sage source retained conceptually through the canonical material.
Mathematics/Advanced NumberTheory/GaussSums.sage,2459,e1d70124c88c0d91420e68d35ec7fbcbad51202d0c874875dbcea03ee4c31d45,integrated/reworked,Computational Number Theory / experiments/mathematics/number-theory,"Gauss/Jacobi sums, finite-field correlations, point-counting, or modular-arithmetic material consolidated into canonical mathematics articles."
Mathematics/Advanced NumberTheory/GaussSums.sage.py,2842,17c09b2b482013dbca1652a20e4ae2d024fccb422dc75f94c96a43b24fd07bab,discarded generated artifact,,Generated Python translation of a Sage source retained conceptually through the canonical material.
