source_path,size_bytes,sha256,extension,disposition,canonical_target,archive_status,notes
Part1/ABE/ABE-master.zip,15598,885d59aa7edd4142e8504a7cbc3303877afbfb2a05e1de4394087a995a874f8c,.zip,archived_third_party_reference,.local-reference-library/source-batches/Part1.zip,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Legacy Charm/Python ABE repository retained only for provenance; concepts rewritten into canonical ABE reference.
Part1/Aristomenis Labs/Labs/cheatsheet.py,6371,5bfeb92b15870b8fee4a3943ab29992c40320f339181db565c9fabd7e907b601,.py,superseded_by_canonical,src/content/blog/python-sagemath-cheat-sheet.md,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Reference material already covered by the canonical Python/SageMath guide.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/#1_Basics_ClassicalCiphers.pdf,436947,f8e417e7a0125be78203579ad23852a463c5e8962ffd5b676569fb1f08b32af1,.pdf,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/#1_Basics_ClassicalCiphers.pptx,278891,ad0f10e0dc81e4a9af13eecb5ac06a076841a07939192a2357ba822e6d7e1b85,.pptx,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/ascii.png,30034,6f94fbe58c280fff30599df8bbaf799fb47479e8504b1a11a9171eca35c44916,.png,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/Frequency Analysis - Live Example/Example/ciphertext.txt,418,631004f0207ec28f7e2a75d1006d926fbf73965cb346af7b755567aa8221b081,.txt,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/Frequency Analysis - Live Example/Solution/count-letter-frequency.py,206,eb187eb4bea1f0e443947b968e0b1b26af290876804589c4c51814900acbd740,.py,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/Frequency Analysis - Live Example/Solution/encrypt.py,392,6a5417f71a8dfec852449bfa062fcc1f66893d2cf9b064fe0e2e138fc15b4d63,.py,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/Frequency Analysis - Live Example/Solution/plaintext.txt,418,259dacaa545d38f5c518b4ddfced9adfba895f72b7aac6f021399b2860b60efc,.txt,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/Homework/assignment.txt,884,d0747c876a8cb1e123296c23f195777cda1be770cc23e20f5b8873171350c625,.txt,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/In Class Coding Assignments/lab1_caesar.py,418,9e7711c42adcad5bb7626eaf6fab44e93a2b84af6be19f3e199ebd4f16f8fc6c,.py,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/In Class Coding Assignments/lab1_letter_frequency.py,888,9c7f7840e879793966791b3d71ec18524f3c6b9a693dd7029c69a580b7e296d8,.py,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/In Class Coding Assignments/lab1_vigenere.py,482,c6d71538dce125e3e2a1d63721ba5e8b7c151e2e7dfd97ad1e897f84db4f9f74,.py,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
Part1/Aristomenis Labs/Labs/Lab 1 - Encodings & Classical Ciphers/sample.jpg,19811,6f6ecdf1fbc3067b9a1f5cefa9bf299171560b3b2f6c68a97273d6723d2c5fab,.jpg,integrated_rewritten,src/content/blog/classical-ciphers-frequency-analysis.md; experiments/classical-cryptanalysis,retained inside .local-reference-library/source-batches/Part1.zip (FULL master only),Classical-cipher/frequency-analysis concepts consolidated into the canonical classical path.
