source_path,size_bytes,sha256,disposition,canonical_destination,reason
Secret Sharing/py_ntt_intt/py_ntt_intt/helper.py,2492,d69a944b374ec75247acf1f0220d6c8bd4e21797303f488d0f2a6f494696444f,superseded-by-canonical,src/content/blog/ntt-engineering-secret-sharing.md,Earlier NTT experiment superseded by cleaned canonical NTT article/companion.
Secret Sharing/py_ntt_intt/py_ntt_intt/ntt.py,1986,985b968a57c5b81a3e2e7892811aa37fbcf7c2f1556e283c3bea94e6767f70ec,superseded-by-canonical,src/content/blog/ntt-engineering-secret-sharing.md,Earlier NTT experiment superseded by cleaned canonical NTT article/companion.
Secret Sharing/py_ntt_intt/py_ntt_intt/ntt_demo.py,1186,a8f77cffb4df5ce1a8005d52b594a5b2c7e797ff7113c25fa6ae539cd3472c5d,superseded-by-canonical,src/content/blog/ntt-engineering-secret-sharing.md,Earlier NTT experiment superseded by cleaned canonical NTT article/companion.
Secret Sharing/py_ntt_intt/py_ntt_intt/__pycache__/helper.cpython-39.pyc,2397,c7f7a2a93b1aaa62e8a6f8ab9e44ef4f13ff1b0b660f01ce1b78e2b39d2ad6df,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/py_ntt_intt/py_ntt_intt/__pycache__/ntt.cpython-39.pyc,1777,24b4af6d063896150ae020f5e6ef467b947379e7f7bc03703966df9a6ce77c80,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/fft.py,5397,2b601e7f368d0fe332ecf946c641d51b72e21c7abf17c993d47a747917c5d30f,superseded-by-canonical,src/content/blog/ntt-engineering-secret-sharing.md,Earlier transform experiment superseded by cleaned NTT material.
Secret Sharing/SSS scheme/KMIP-SplitKey-master.zip,23656,62c455327ce4225e97b1073700061491a5de945db981143c371e0303351af7ad,reference-archive-omitted,,Nested source/archive ZIP excluded from compact canonical master.
Secret Sharing/SSS scheme/main.py,279,e89833bbf2c42565ba3e658926f8a9dc0fdfca6f2044ab6c2ad11f41c3ca6bde,superseded-by-canonical,src/content/blog/ntt-engineering-secret-sharing.md,Earlier transform experiment superseded by cleaned NTT material.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/.gitignore,11,0cd064765b740a9d791f15266ee55d644b4b0cf40294754c21d5901ed9c781c3,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/divide_and_conquer.drawio,28139,ebe83ce59d51cc00efb61f9ecd27073bd43fc5c8cbc54df399b57a812e4475d7,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/images/case1_plot_nbf.pdf,14868,7e5db0099421d458e981f783d61370d47bd1627d21d899b72b03cb41180d86a2,reference-only-omitted,,Paper/thesis PDF excluded by compact-master policy.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/images/case1_plot_sl.pdf,13943,47ef6472008f873d7a7d5a258837fefae9966f6f96923df0157f253bbc5f023c,reference-only-omitted,,Paper/thesis PDF excluded by compact-master policy.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/images/case3_plot_all.pdf,15469,2cbc69a79c580356d2294bb9285bf90a416e97b8a1c5ec44e4670a2d5144b851,reference-only-omitted,,Paper/thesis PDF excluded by compact-master policy.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/case1_nbf.png,31195,762a76183f77e8e14b902dff07e4164bf4afb041eb018253c775dc5c9822809c,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/case1_sl.png,24596,d41c4c731201dc69e0ea4f1c543c68d02714c4bcbaeaa608e0549b0192f0e540,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/case2_not_precomputed.png,576871,b9dfdc3121a01f608348a283b6f3311579cdbedfd213e9fbc63fd9e0aee41cf3,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/case2_precomputed.png,578340,462aad7e8e16aea0bc19a75c941beaa2514e6062642504ff76aeb3b8f8a6de2a,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/case3_all.png,40549,c992fd81505c203297def6d67dc3046064ff99b2882dff303aea80fd2e578692,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/divide_and_conquer.png,74672,74a51e266945441af74182c3eedd75b60fe24dc2c6ce0e9a54dc26e1093f7d03,integrated-reworked,public/images/secret-sharing/ntt-divide-and-conquer.png,Useful original transform diagram retained as canonical site asset.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/eighth_rou.png,21934,dd7c0b20bbefbffb0bd12097593749d43a40fca23d0dc8808e99392ccb0ce79d,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/fourth_rou.png,18763,a3139d0669f863ef15c774b88b926ef41469b87d83817c95feb774cba53117fb,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/second_rou.png,15130,65dc42169e8d7c849e8a7f971d5bbe778abb80c1734b2bee0d1f91f1732b7b32,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/img/shamir.drawio.png,125380,e6c5171c61655a058df50179d73ffde2120f901fd8515478357f44f63c800430,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/LICENSE,1076,a1bc7f8cd63788bf3d30e1e8ed316af58f467c1ee465d2ab32ace116ec1e1705,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/rou.drawio,24289,c690ea655b16cabd2a82ff28ca626a9c8f2b0aae54321d487fee80c1428fdde1,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/shamir.drawio,20550,e50fe43c57fd1b8eb892ec1c0a0faede6d62aa0ec9ad607edcaf07062c7c7936,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/barycentric.py,1227,ba1a16d2173c1862b4a7141984f5233388093f6555a3fbe7cf53dc320eb4f4a5,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/case1.py,2699,2b6a81ba3e3277cd6ce989c3cecd587297a9a5027fb3e76256086c3a326e8654,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/case2.py,1402,c388cade21cdceb7c08c0d66f88bb56facad717f8def0ae4b23793f0ce1bc9dc,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/case3.py,1698,e6dfd08366783df43d539a8c2a56f45e6d581f84d53639128faa5c84ab7e93bf,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/case4.py,1501,007edbc9bf8586462c05a9cf894c8b8709f1e73304627dbc287f8636d1d2b801,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/comparison.py,4798,63fc91fa040e588f28b9a073ee762a2aeb66135ae8cdefc4299e3f2f155d8cdd,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/fourier.py,1775,6c32cda1faccc4fae423a95eae26d1b9f86ac7dcde9a29c2f1c34845c8602a93,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/interpolation.py,665,10dec321723b4263f81ec68679b650ab6508dbd581a6a24f8c70f99f669afcab,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/lagrange.py,834,dc06d50076bcd048b2f2b4248e5fe1ce07e774810952a6603ebf72c8de688f11,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/main.py,302,4feffa176fec4256402666e545a85b56cc707eedff1ca6580eb4c4bbbe0cb6fa,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/newton.py,1320,8d135a2ec19abfd765fc211b5d621c23df316c93ec34691045298edcaa94119c,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/utils.py,3301,2ca6eda0ad69171080dd5a855805c5c3f302d1dc61ec9db631859a3bc47d30be,superseded-by-canonical,src/content/blog/finite-field-interpolation-methods.md; src/content/blog/ntt-engineering-secret-sharing.md,Interpolation/FFT thesis material already consolidated into canonical articles and selected assets.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/barycentric.cpython-310.pyc,1968,72bc152576146ceb32d9ca4e6c813619b4cc116ee0f700f72b31b4eca39a2e2a,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/case1.cpython-310.pyc,2278,cc82fd0fbbe11abe8023d5b6dca396ad69bb064604ee1150e3339764593850bd,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/case1.cpython-39.pyc,2269,8457eda993ebd75f88473dc21244010bf00144aab2893bbcf3c22e1f0892eb88,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/case2.cpython-310.pyc,1439,487a64a625e002b0eeae33c7c410662ae2203370a3debe927460d744303fceb4,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/case3.cpython-310.pyc,1626,881d2bf53f88fc4c3a60183e40e10c3f2ca5ad32bd29ba200dd6d7c91d647e22,discarded-generated-cache,,Python bytecode/cache artifact.
Secret Sharing/SSS scheme/MSc-Thesis-src-main/src/__pycache__/case4.cpython-310.pyc,1447,d91a0eef9763098d846a12d0de113961331f44bfaeddaeed0021d0ebfba1382c,discarded-generated-cache,,Python bytecode/cache artifact.
