source_path,size_bytes,sha256,disposition,canonical_target,reason
Threshold Python/FROST/poc.sage,8459,bc697f2709e1a209e124ccc50ca96a28c6a1ddfc710f524ca5db41bffb061fe3,Superseded by canonical work,src/content/blog/frost-rfc9591-protocol.md,Earlier FROST proof-of-concept is superseded by the validated RFC 9591/FROST v0.5 path already in CryptoCave.
Threshold Python/FROST/poc.sage.py,10040,fee41834d4f683f8115fc03b39f1aa456622183b9f36165712378c358eee8880,Superseded by canonical work,src/content/blog/frost-rfc9591-protocol.md,Earlier FROST proof-of-concept is superseded by the validated RFC 9591/FROST v0.5 path already in CryptoCave.
Threshold Python/Garbled Circuits/DiceCTF 2021 - garbled _ joseph's blog.pdf,356062,cff2e5b8081a86c05bb4bef2ff6e277cdda54735c2239cd79e873be78e1ead0b,Excluded reference / separate scope,—,Garbled-circuit reference/archive belongs to a future MPC batch and bulky PDF/raw archives are excluded from compact masters.
Threshold Python/Garbled Circuits/Garbled circuit - HackMD.pdf,1186072,d3d1ac8bb1c724d4c4881faa56fa464b5818ee882fb03b79b8836af8d1cf10a4,Excluded reference / separate scope,—,Garbled-circuit reference/archive belongs to a future MPC batch and bulky PDF/raw archives are excluded from compact masters.
Threshold Python/Garbled Circuits/garbled.py,3222,3c5ea677e23c259cf1de33906e2887117dd90e48909e917d5c1a77fbb84faf4e,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/.gitignore,38,5fd76960eb305bade1e32a3682e6fe3de30deec641776ac78d2ddfe03a6d4e8d,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/circuit.v,328,a1a1ac77de29ccfb5444f896c29075afe01dbea1d10fd7a738b320fb0f9f319b,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/mpc.py,15788,6c559d425fe1ad9448777782785eb5f3bc77c32a28f641fe53c69d59f887e400,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/out.v,5085,556ab39d0a5ef62300bb724ff490d108e0bf89339377f7b4b71c957849335c6f,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/primes.txt,1250881,78054f1684fb2a0081e89dab0bd7e473ab683c1cb35a0af1ab7425eda9937bb1,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/README.md,544,f0b2ca1bc6c3d970db80645df7c20a38264942f6c2bcc3aae8c34bb7bba41d8a,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/requirements.txt,13,8726412e6b507a83e1d93fe53c30ee9fb5dc3e04f82299cc0e8e7bd5d836edd8,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/sieve.py,405,10bf205df5b4f9e5a87f1b5a3a1d99205c8b17fcaa02a1476ac671ba72532e95,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master/mpc-from-scratch-master/yosys-script.txt,138,39f7a045f3e73b9194d61376e05835a5ea065dddcd9368b63903e14d5f48f432,Reference-only / separate scope,—,"Garbled-circuit teaching code is MPC material, not part of this threshold-signature consolidation."
Threshold Python/Garbled Circuits/mpc-from-scratch-master.zip,8102,16322309b083cb3383074ada9392b667e35be4f2ed9d4a42c735d6661c022239,Excluded reference / separate scope,—,Garbled-circuit reference/archive belongs to a future MPC batch and bulky PDF/raw archives are excluded from compact masters.
Threshold Python/Garbled Circuits/pygarble-master.zip,9054376,51e90d83b8b76147e750677ef6626332ea13bd39f5f9de9528ab2c69acd613ab,Excluded reference / separate scope,—,Garbled-circuit reference/archive belongs to a future MPC batch and bulky PDF/raw archives are excluded from compact masters.
