source_path,size_bytes,sha256,disposition,canonical_destination,notes
ZKPs/didactic_stark.py,34527,5abf03113c7726ab830b2cfd0958c1c021b85edf7f2c2b022337af2a21ae7546,integrated conceptually,src/content/blog/starks-air.md; src/content/blog/fri-low-degree-testing.md; experiments/zero-knowledge/fri,Didactic STARK/FRI ideas retained; dependency-heavy script not copied into canonical experiments.
ZKPs/FeigeZKP.sage,4231,1e7ba110d7019d469bce4f382f03a2166efcba8a7d0a9ff9c868499bc8978d09,integrated/reworked,src/content/blog/sigma-protocols-identification.md; experiments/zero-knowledge/sigma,Square-root identification material synthesized; fragile Sage/randomness code superseded by a smaller validated Sigma-protocol companion.
ZKPs/FiatShamirZKP.md,7645,166f316f462c570ef30d72eee3458b41a315c8e11ed986beffd8d2c3a1cda0b4,integrated/reworked,src/content/blog/sigma-protocols-identification.md; src/content/blog/fiat-shamir-transform.md,"Core identification/Fiat-Shamir ideas retained with soundness, extraction, and terminology corrections."
"ZKPs/Groth16 zkSNARK – Risen Crypto – Mathematical Cryptography, zkSNARKs.pdf",737218,6359c45a267faf95225f255b4dcc369dcc423b13d601470a2dbd31addb82a553,excluded paper/PDF,,Paper/tutorial excluded from compact canonical master; concepts used only where independently integrated.
ZKPs/ZKP code/A beginner's intro to coding zero-knowledge proofs - DEV Community.pdf,1591417,fcddedc2fda54a75dffec68349bfe34f619e8dd4fef3f25bf211c9b342895ce3,excluded paper/PDF,,Paper/tutorial excluded from compact canonical master; concepts used only where independently integrated.
ZKPs/ZKP code/A Friendly Introduction to Zero Knowledge.pdf,5304841,e96f05b7d35e1a8503086eadbafada429c47bd9c27aac64b3e45bf77b00edef5,excluded paper/PDF,,Paper/tutorial excluded from compact canonical master; concepts used only where independently integrated.
ZKPs/ZKP code/babySNARK-master.zip,1066046,1fb4ec0e3d765d75083988fa0811d1a9691b1a1c736c9999d06fc259c54217f8,integrated conceptually,src/content/blog/qap-pinocchio.md; src/content/blog/groth16-zksnark.md,Educational SNARK/QAP material synthesized; repository/notebook snapshot not retained.
ZKPs/ZKP code/Garden Path Trajectory_ A Hands-On Tutorial for Zero-Knowledge Proofs_ Part I.pdf,874882,84f7f5b761f1ccc9a2d04863612de2c159495a24c08b2e60372df8303b382aea,excluded paper/PDF,,Paper/tutorial excluded from compact canonical master; concepts used only where independently integrated.
ZKPs/ZKP code/Garden Path Trajectory_ A Hands-On Tutorial for Zero-Knowledge Proofs_ Part II.pdf,986485,2a525547f59acfc6d7ecac487c8f43eb6f012bd7e7bbd88b59f336b6232b20b0,excluded paper/PDF,,Paper/tutorial excluded from compact canonical master; concepts used only where independently integrated.
ZKPs/ZKP code/Garden Path Trajectory_ A Hands-On Tutorial for Zero-Knowledge Proofs_ Part III.pdf,1185659,71b3e5c9047878f3dca3c3512f6e89ecb3cfd3844ef19befd658a4da4f5bd94e,excluded paper/PDF,,Paper/tutorial excluded from compact canonical master; concepts used only where independently integrated.
ZKPs/ZKP code/homerolled-zk-main.zip,5632,acc51887ffac858cea66e74738bbce4560c10c490a7783e4adef106feeac5c08,integrated conceptually,src/content/blog/arithmetic-circuits-r1cs.md; experiments/zero-knowledge/r1cs,R1CS/witness teaching idea retained; third-party repository snapshot not copied.
ZKPs/ZKP code/Pinocchio_SNARK_Py-master.zip,628682,cf759b5ff37463567583d14d4bbecdb4f6dc6562ff221fe9ae3b47d0066482ae,integrated conceptually,src/content/blog/qap-pinocchio.md,Pinocchio/QAP educational material informed the canonical derivation; third-party repository snapshot not copied.
ZKPs/ZKP code/plonkathon-main.zip,2494411,01bea699c3ed0d2549ed605492b9f16356b168599a70fc21a19077551c71fd23,integrated conceptually,src/content/blog/plonk-proof-system.md,PLONK implementation used as a conceptual/reference source; third-party repository and large setup/test artifacts not retained.
